Rank,Δ Rank (1wk),Security,Industry,Unnamed: 4,Market Cap (MM),Short Float,SI Change (1m %),Float - SI (MM),Days to Cover,Price Momo (1m %),Shares Avail. (1K),Borrow Fee Rate,Short Squeeze Score
101,25 ↑,"MED / Medifast, Inc.",Miscellaneous Food Preparations And Kindred,,111.5,25.29,6.25,6.35,22.17,1.84,350.0,0.82,87.41
102,20 ↓,"RRGB / Red Robin Gourmet Burgers, Inc.","Restaurants, Dining, and Eating Places",,69.51,15.36,-6.93,11.87,16.95,10.06,250.0,1.65,87.38
103,2 ↑,BATL / Battalion Oil Corporation,Crude Petroleum and Natural Gas,,64.18,20.84,182.52,13.31,0.47,-21.45,150.0,72.21,87.34
104,6 ↓,"LESL / Leslie's, Inc.","Retail Stores, Not Elsewhere Classified",,17.7,11.33,0.59,8.05,9.37,22.87,550.0,2.2,87.33
105,72 ↓,LUCK / Lucky Strike Entertainment Corporation,Amusement And Recreation Services,,1002.24,17.74,-2.58,10.72,43.45,-8.18,250.0,23.76,87.31
106,149 ↑,"IMA / ImageneBio, Inc.",In Vitro and In Vivo Diagnostic Substances,,64.74,9.18,55.3,5.81,7.3,5.12,400.0,5.44,87.12
107,2 ↑,WEST / Westrock Coffee Company,"Heating Equipment, Except Electric and Warm Air Furnaces",,546.32,24.11,2.98,20.67,31.39,15.99,45.0,1.42,86.95
108,88 ↑,BH / Biglari Holdings Inc.,"Restaurants, Dining, and Eating Places",,947.57,14.71,-21.24,0.56,1.41,0.76,25.0,0.43,85.61
109,25 ↓,"OXM / Oxford Industries, Inc.","Men's And Boys' Furnishings, Work Clothing, And Allied Garments",,661.95,25.46,2.29,10.63,21.41,6.93,150.0,0.72,86.94
110,44 ↑,"NRXP / NRx Pharmaceuticals, Inc.",Pharmaceutical Preparations,,93.36,13.4,18.18,21.0,5.18,11.62,350.0,8.35,86.92
111,49 ↓,EMPD / Empery Digital Inc.,Motor Vehicles and Passenger Car Bodies,,160.89,12.06,-3.68,16.28,11.45,3.72,650.0,16.97,86.84
112,13 ↓,"UPXI / Upexi, Inc.",Finance Services,,84.78,29.24,-8.01,43.5,7.98,7.94,45.0,21.89,86.73
113,32 ↓,INMB / INmune Bio Inc.,"Biological Products, Except Diagnostic Substances (Biotech)",,39.08,15.2,3.47,18.79,28.25,9.67,350.0,3.09,86.49
114,2 ↑,"STEM / Stem, Inc.",Computer Integrated Systems Design,,87.74,12.74,-1.76,7.2,10.42,4.2,450.0,1.37,86.35
115,84 ↑,BALY / Bally's Corporation,Hotels and Motels,,631.79,8.78,7.06,9.06,30.88,11.88,45.0,6.53,86.76
116,108 ↑,FUBO / FuboTV Inc.,"Motion Picture, Film, and Video Tape Production",,347.08,24.46,50.67,22.04,6.86,2.55,150.0,4.21,86.71
117,2 ↓,WRLD / World Acceptance Corporation,Personal Credit Institutions,,1473.32,19.55,28.52,1.85,3.08,8.53,60.0,0.26,86.77
118,3 ↑,"CBRL / Cracker Barrel Old Country Store, Inc.","Restaurants, Dining, and Eating Places",,687.73,24.49,2.59,15.09,7.22,7.23,500.0,0.94,86.61
119,13 ↓,DRUG / Bright Minds Biosciences Inc.,Pharmaceutical Preparations,,696.17,9.81,22.5,5.96,3.93,9.67,200.0,2.21,86.57
120,50 ↑,TNXP / Tonix Pharmaceuticals Holding Corp.,Pharmaceutical Preparations,,162.54,17.46,0.13,11.7,9.83,-2.21,800.0,6.57,86.55
121,61 ↓,"AIFF / Firefly Neuroscience, Inc.",,,29.6,10.15,-15.61,11.59,1.47,-4.98,350.0,78.93,84.06
122,49 ↓,"EVMN / Evommune, Inc.",,,806.07,17.65,12.93,16.14,21.96,2.4,450.0,5.67,86.52
123,10 ↑,CRML / Critical Metals Corp.,,,1380.27,28.0,24.35,54.99,1.04,28.75,0.6,75.03,86.45
124,57 ↑,"TECX / Tectonic Therapeutic, Inc.",,,509.68,21.7,-13.2,8.75,12.27,-4.56,150.0,1.08,86.33
125,46 ↓,"PLSE / Pulse Biosciences, Inc.",Surgical and Medical Instruments and Apparatus,,1480.94,16.34,10.86,14.89,16.92,-2.64,250.0,3.9,84.35
126,128 ↑,"SPIR / Spire Global, Inc.","Communications Services, Not Elsewhere Classified",,523.43,16.93,64.59,30.3,4.7,3.59,75.0,6.57,84.95
127,15 ↓,CLNN / Clene Inc.,Pharmaceutical Preparations,,65.75,10.4,2.55,7.56,17.41,5.36,100.0,2.0,85.65
128,,YYGH / YY Group Holding Limited,,,92.6,5.37,210.61,2.49,2.03,5.05,0.3,100.33,86.13
129,58 ↓,"CRMT / America's Car-Mart, Inc.",Automotive Dealers And Gasoline Service Stations,,104.61,26.5,26.82,3.81,19.5,-1.59,400.0,0.64,86.12
130,54 ↓,"SPRY / ARS Pharmaceuticals, Inc.",Pharmaceutical Preparations,,788.37,65.22,12.84,14.27,13.03,-1.54,1700.0,2.03,86.11
131,92 ↑,FGNX / FG Nexus Inc.,Finance Services,,49.57,7.3,-8.63,4.5,11.25,12.42,400.0,5.05,86.59
132,83 ↑,"TRAK / ReposiTrak, Inc.",Computer Integrated Systems Design,,161.36,12.22,5.93,11.2,7.76,12.14,100.0,1.42,85.89
133,170 ↑,SDST / Stardust Power Inc.,,,27.04,7.02,12.8,5.99,5.9,5.46,100.0,12.8,85.99
134,4 ↑,"SION / Sionna Therapeutics, Inc.",,,1772.84,23.24,7.22,12.55,10.57,2.74,100.0,0.92,85.89
135,14 ↑,"RILY / BRC Group Holdings, Inc.",Investment Advice,,231.31,22.8,-4.24,17.65,9.07,4.53,1300.0,0.97,85.33
136,70 ↑,"ASMB / Assembly Biosciences, Inc.",Pharmaceutical Preparations,,429.05,20.44,0.66,5.96,29.98,-1.75,250.0,0.94,85.6
137,4 ↑,"TTGT / TechTarget, Inc.",,,422.54,17.52,5.59,13.98,6.25,24.76,100.0,0.32,82.82
138,13 ↑,TZOO / Travelzoo,Advertising,,113.46,11.0,-10.34,5.74,0.62,44.74,350.0,1.37,87.29
139,29 ↑,"MYO / Myomo, Inc.","Orthopedic, Prosthetic, and Surgical Appliances and Supplies",,31.12,14.13,-20.42,23.64,22.3,7.56,35.0,6.86,86.11
140,47 ↓,"CTRN / Citi Trends, Inc.",Apparel And Accessory Stores,,388.32,16.13,16.42,3.54,14.9,4.55,100.0,0.66,85.58
141,42 ↑,PRKS / United Parks & Resorts Inc.,Miscellaneous Amusement And Recreation,,1755.59,44.72,16.11,10.05,13.29,4.78,300.0,0.43,85.58
142,45 ↑,"KSCP / Knightscope, Inc.","Communications Equipment, Not Elsewhere Classified",,38.72,16.23,53.86,11.91,7.31,-14.14,250.0,9.77,85.54
143,52 ↑,"SRZN / Surrozen, Inc.","Biological Products, Except Diagnostic Substances (Biotech)",,301.74,9.04,33.37,4.37,3.76,5.52,100.0,4.16,87.23
144,12 ↑,GRRR / Gorilla Technology Group Inc.,Prepackaged Software,,369.0,12.62,10.19,22.29,6.73,10.36,10.0,5.17,85.49
145,16 ↑,ABEO / Abeona Therapeutics Inc.,Pharmaceutical Preparations,,295.58,38.89,9.08,25.88,26.91,8.07,2400.0,1.1,85.45
146,6 ↑,"FBIO / Fortress Biotech, Inc.",Pharmaceutical Preparations,,70.26,20.53,6.3,17.6,22.46,-7.42,500.0,12.03,85.49
147,37 ↓,SERV / Serve Robotics Inc.,,,672.61,30.58,11.76,48.14,8.58,4.18,0.1,18.11,85.4
148,54 ↓,DJCO / Daily Journal Corporation,"Newspapers: Publishing, or Publishing and Printing",,724.81,14.5,3.31,1.11,8.34,1.64,25.0,0.42,85.35
149,68 ↑,DAVE / Dave Inc.,Finance Services,,3771.55,16.39,28.74,7.63,4.54,20.75,200.0,0.42,85.25
150,188 ↑,ESTA / Establishment Labs Holdings Inc.,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",,1887.24,23.69,8.46,14.67,19.07,4.74,1400.0,0.73,85.21
151,19 ↓,XOMA / XOMA Royalty Corporation,Pharmaceutical Preparations,,484.68,13.65,-9.75,7.76,1.73,15.5,35.0,0.66,85.78
152,7 ↓,"AVBP / ArriVent BioPharma, Inc.",Pharmaceutical Preparations,,1274.42,27.65,6.05,20.06,17.62,11.94,550.0,0.68,85.16
153,33 ↓,AGIG / Abundia Global Impact Group Inc.,,,45.22,7.54,-17.1,11.45,4.74,-0.7,500.0,44.69,83.01
154,25 ↓,NNE / NANO Nuclear Energy Inc.,General Building Contractors-residential,,1134.04,22.14,-33.78,31.18,5.04,4.42,200.0,3.87,85.11
155,12 ↓,"TSSI / TSS, Inc.",Management Consulting Services,,419.69,19.38,-18.63,16.8,2.68,10.51,500.0,0.58,84.24
156,430 ↑,AGH / Aureus Greenway Holdings Inc.,,,60.16,7.78,20.7,12.45,2.47,9.51,6.0,12.03,85.29
157,107 ↓,"AISP / Airship AI Holdings, Inc.",Prepackaged Software,,76.3,20.68,-0.16,17.45,12.59,-5.45,100.0,7.19,85.08
158,28 ↑,"AARD / Aardvark Therapeutics, Inc.",,,122.17,10.62,-16.63,9.71,13.14,21.82,400.0,1.04,84.93
159,73 ↓,"KLRS / Kalaris Therapeutics, Inc.",,,128.48,13.92,-8.35,5.21,15.96,-4.63,350.0,3.59,85.92
160,499 ↑,PLRZ / Polyrizon Ltd.,,,26.54,3.98,73.27,1.62,1.21,27.34,100.0,391.5,85.02
161,47 ↓,"TKNO / Alpha Teknova, Inc.",In Vitro and In Vivo Diagnostic Substances,,175.15,12.87,0.14,9.0,32.35,9.32,250.0,0.83,84.96
162,272 ↑,"PLAY / Dave & Buster's Entertainment, Inc.","Restaurants, Dining, and Eating Places",,397.89,33.6,-16.16,16.24,5.53,-0.26,1400.0,0.51,82.11
163,130 ↑,BEEM / Beam Global,"Miscellaneous Electrical Machinery, Equipment, and Supplies",,36.72,9.34,-3.83,18.27,0.99,23.25,500.0,5.97,84.8
164,101 ↓,"LE / Lands' End, Inc.",Family Clothing Stores,,340.15,19.36,22.33,9.58,18.58,-10.61,100.0,1.8,84.46
165,61 ↓,PDYN / Palladyne AI Corp.,,,268.4,19.86,12.28,27.88,7.71,-0.94,400.0,14.2,84.75
166,220 ↑,"ANAB / AnaptysBio, Inc.",Pharmaceutical Preparations,,1855.42,23.79,-14.34,13.16,6.0,18.41,100.0,0.41,84.71
167,167 ↑,JYNT / The Joint Corp.,Patent Owners and Lessors,,128.13,12.52,-5.89,6.29,49.68,5.0,1600.0,0.61,84.68
168,21 ↑,ADUR / Aduro Clean Technologies Inc.,,,402.61,9.03,4.97,20.31,8.23,9.39,2.0,14.37,84.67
169,119 ↑,"ACRV / Acrivon Therapeutics, Inc.",Pharmaceutical Preparations,,59.5,10.96,-0.82,19.4,1.54,16.95,1000.0,3.47,84.68
170,116 ↑,LEU / Centrus Energy Corp.,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",,4042.84,23.53,0.08,13.99,4.38,6.57,95.0,0.43,83.99
171,99 ↓,SNBR / Sleep Number Corporation,Household Furniture,,69.27,31.2,0.65,13.05,0.61,43.41,350.0,1.5,89.63
172,5 ↓,"OFRM / Once Upon A Farm, PBC",,,110.68,22.47,12.86,12.16,12.06,-1.53,250.0,1.81,84.63
173,38 ↓,"PSIX / Power Solutions International, Inc.",Engines And Turbines,,1593.29,19.79,14.66,6.76,4.28,-0.92,150.0,0.38,82.02
174,3 ↑,"PDEX / Pro-Dex, Inc.",Surgical and Medical Instruments and Apparatus,,165.33,12.98,2.74,1.52,10.74,1.92,55.0,0.48,84.91
175,33 ↑,LBRX / LB Pharmaceuticals Inc,,,773.65,15.78,14.65,16.6,21.58,10.85,90.0,0.99,84.55
176,28 ↓,DBI / Designer Brands Inc.,Shoe Stores,,364.25,26.46,6.3,21.15,14.6,8.58,6600.0,0.66,84.37
177,15 ↑,"SLNH / Soluna Holdings, Inc.",Finance Services,,133.29,22.68,21.12,61.92,0.98,15.66,1200.0,17.7,84.51
178,15 ↓,"OM / Outset Medical, Inc.",Electromedical and Electrotherapeutic Apparatus,,78.31,16.01,-0.28,10.95,26.95,4.59,300.0,0.58,84.19
179,54 ↓,SDHC / Smith Douglas Homes Corp.,Operative Builders,,119.98,15.66,32.33,6.04,17.39,1.78,500.0,0.53,84.4
180,21 ↑,"RHLD / Resolute Holdings Management, Inc.",,,1136.89,18.81,22.65,2.9,6.96,-6.37,40.0,0.56,84.07
181,39 ↓,"MANE / Veradermics, Incorporated",,,77.27,8.79,28.16,18.59,2.05,49.94,75.0,3.81,83.62
182,22 ↓,ATOM / Atomera Incorporated,Semiconductors and Related Devices,,236.51,14.02,-0.05,30.38,0.73,30.35,1000.0,3.21,84.26
183,75 ↓,LASE / Laser Photonics Corporation,"Miscellaneous Electrical Machinery, Equipment, and Supplies",,16.34,15.69,19.55,20.96,2.48,-26.97,250.0,59.53,84.24
184,101 ↑,"RCEL / AVITA Medical, Inc.",Surgical and Medical Instruments and Apparatus,,132.38,11.7,-3.83,26.89,25.57,0.44,200.0,13.07,84.22
185,66 ↑,"BOBS / Bob's Discount Furniture, Inc.",,,1236.83,22.04,90.5,21.99,9.53,-1.35,1400.0,1.4,84.18
