Rank,Δ Rank (1wk),Security,Industry,Unnamed: 4,Market Cap (MM),Short Float,SI Change (1m %),Float - SI (MM),Days to Cover,Price Momo (1m %),Shares Avail. (1K),Borrow Fee Rate,Short Squeeze Score
226,17 ↓,"RIGL / Rigel Pharmaceuticals, Inc.",Pharmaceutical Preparations,,559.58,22.68,10.51,14.05,17.13,4.65,200.0,0.61,84.8
227,48 ↓,ARCT / Arcturus Therapeutics Holdings Inc.,Pharmaceutical Preparations,,252.32,23.79,5.28,20.03,25.45,11.72,600.0,0.61,84.46
228,71 ↓,"MDGL / Madrigal Pharmaceuticals, Inc.",Pharmaceutical Preparations,,11803.64,32.13,2.11,8.48,25.03,-0.02,150.0,0.29,82.65
229,12 ↑,"DIN / Dine Brands Global, Inc.","Restaurants, Dining, and Eating Places",,363.68,18.05,5.57,10.1,15.18,1.47,450.0,0.57,83.75
230,,"HROW / Harrow, Inc.",Pharmaceutical Preparations,,1507.04,23.38,2.58,21.0,15.5,8.09,1800.0,0.42,82.23
231,75 ↑,"CLPT / ClearPoint Neuro, Inc.",Surgical and Medical Instruments and Apparatus,,325.41,18.18,8.53,20.95,15.57,6.49,950.0,0.7,83.1
232,153 ↑,"MPTI / M-tron Industries, Inc.","Electronic Components, Not Elsewhere Classified",,215.79,12.69,392.05,2.96,6.67,-2.64,100.0,0.86,83.05
233,40 ↑,STAA / STAAR Surgical Company,Ophthalmic Goods,,1319.06,27.82,6.81,19.44,11.59,20.15,950.0,0.36,83.04
234,15 ↑,ATLC / Atlanticus Holdings Corporation,Personal Credit Institutions,,1179.17,9.57,-0.85,4.47,7.33,20.25,60.0,0.43,82.95
235,155 ↓,CURV / Torrid Holdings Inc.,Apparel And Accessory Stores,,174.79,18.47,8.71,19.48,14.61,-8.47,800.0,3.65,82.95
236,39 ↓,"SAH / Sonic Automotive, Inc.",Automotive Dealers And Gasoline Service Stations,,2430.57,18.94,13.95,11.2,20.88,4.63,150.0,0.43,83.58
237,98 ↓,"TIL / Instil Bio, Inc.","Biological Products, Except Diagnostic Substances (Biotech)",,55.14,10.18,-17.63,2.9,26.71,0.76,70.0,1.76,85.66
238,7 ↑,"KRRO / Korro Bio, Inc.",Pharmaceutical Preparations,,120.92,11.32,6.53,8.5,23.13,5.78,300.0,0.6,83.01
239,37 ↑,"KLXE / KLX Energy Services Holdings, Inc.","Oil and Gas Field Services, Not Elsewhere Classified",,69.0,10.2,-14.63,12.08,3.12,32.77,1600.0,0.75,82.74
240,119 ↑,"NVCT / Nuvectis Pharma, Inc.",Pharmaceutical Preparations,,223.39,9.98,-4.85,13.9,41.69,5.07,70.0,1.57,82.92
241,40 ↑,"BTAI / BioXcel Therapeutics, Inc.",Pharmaceutical Preparations,,24.34,16.0,40.71,20.72,7.85,-8.04,950.0,6.16,82.91
242,346 ↑,MRDN / Meridian Holdings Inc.,,,94.68,6.5,17.13,1.96,5.31,14.06,200.0,0.75,83.03
243,8 ↓,LIFE / Ethos Technologies Inc.,"Biological Products, Except Diagnostic Substances (Biotech)",,299.31,7.83,168.05,23.96,8.3,31.56,550.0,10.16,82.88
244,31 ↓,PLPC / Preformed Line Products Company,"Water, Sewer, Pipeline, and Communications and Power Line Construction",,1749.63,9.31,4.63,2.31,1.65,13.92,40.0,0.36,82.88
245,127 ↑,GHRS / GH Research PLC,Pharmaceutical Preparations,,1231.28,9.43,-17.61,20.65,8.39,15.03,200.0,0.86,80.2
246,75 ↓,"FORR / Forrester Research, Inc.","Engineering, Accounting, Research, Management, And Related Services",,118.26,13.11,11.66,8.9,22.38,3.99,800.0,0.62,83.64
247,156 ↓,"FOUR / Shift4 Payments, Inc.","Business Services, Not Elsewhere Classified",,2995.25,32.59,-14.14,31.12,11.14,0.36,500.0,3.76,84.31
248,17 ↓,TAOX / TAO Synergies Inc.,Finance Services,,37.09,8.26,105.46,6.7,6.69,-1.44,300.0,9.96,83.93
249,161 ↓,NMAX / Newsmax Inc.,,,752.82,23.97,29.81,23.51,0.9,-6.37,10000.0,3.23,82.79
250,12 ↑,VATE / INNOVATE Corp.,Fabricated Structural Metal Products,,168.37,7.13,5.71,3.9,5.38,58.73,600.0,0.65,82.66
